"name","train","direction","departure","arrival","duration","changes","seatsFirst","seatsSecond","leavingPlatform","price","cheapTicket"
"14:34 Richtung Zürich HB","InterRegio","Richtung Zürich HB"," 14:34"," 15:50","1 h 22 min","2","1. Klasse, Tiefe bis mittlere Belegung erwartet","2. Klasse, Tiefe bis mittlere Belegung erwartet","Gl. 8","19.70",false
"14:36 Richtung Frankfurt (Main) Hbf","EuroCity","Richtung Frankfurt (Main) Hbf"," 14:36"," 15:50","1 h 20 min","2","1. Klasse, Tiefe bis mittlere Belegung erwartet","2. Klasse, Tiefe bis mittlere Belegung erwartet","Gl. 4","19.70",false
"15:04 Richtung Basel SBB","InterCity","Richtung Basel SBB"," 15:04"," 16:20","1 h 22 min","1","1. Klasse, Tiefe bis mittlere Belegung erwartet","2. Klasse, Tiefe bis mittlere Belegung erwartet","Gl. 6","19.70",false
"15:36 Richtung Basel SBB","InterCity","Richtung Basel SBB"," 15:36"," 16:50","1 h 20 min","2","1. Klasse, Tiefe bis mittlere Belegung erwartet","2. Klasse, Tiefe bis mittlere Belegung erwartet","Gl. 4","19.70",false
"16:04 Richtung Frankfurt (Main) Hbf","InterCityExpress","Richtung Frankfurt (Main) Hbf"," 16:04"," 17:20","1 h 22 min","1","1. Klasse, Hohe Belegung erwartet","2. Klasse, Sehr hohe Belegung erwartet","Gl. 6","19.70",false
"16:36 Richtung Basel SBB","InterCity","Richtung Basel SBB"," 16:36"," 17:50","1 h 20 min","2","1. Klasse, Sehr hohe Belegung erwartet","2. Klasse, Sehr hohe Belegung erwartet","Gl. 4","19.70",false
"17:04 Richtung Basel SBB","InterCity","Richtung Basel SBB"," 17:04"," 18:20","1 h 22 min","1","1. Klasse, Sehr hohe Belegung erwartet","2. Klasse, Sehr hohe Belegung erwartet","Gl. 7","19.70",false
"17:36 Richtung Basel SBB","InterCity","Richtung Basel SBB"," 17:36"," 18:50","1 h 20 min","2","1. Klasse, Sehr hohe Belegung erwartet","2. Klasse, Sehr hohe Belegung erwartet","Gl. 4","19.70",false
"18:04 Richtung Basel SBB","InterCity","Richtung Basel SBB"," 18:04"," 19:20","1 h 22 min","1","1. Klasse, Hohe Belegung erwartet","2. Klasse, Sehr hohe Belegung erwartet","Gl. 6","19.70",false
"18:36 Richtung Basel SBB","InterCity","Richtung Basel SBB"," 18:36"," 19:50","1 h 20 min","2","1. Klasse, Tiefe bis mittlere Belegung erwartet","2. Klasse, Hohe Belegung erwartet","Gl. 4","19.70",false
"19:04 Richtung Basel SBB","InterCity","Richtung Basel SBB"," 19:04"," 20:20","1 h 22 min","1","1. Klasse, Tiefe bis mittlere Belegung erwartet","2. Klasse, Hohe Belegung erwartet","Gl. 6","19.70",false
"19:36 Richtung Basel SBB","InterCity","Richtung Basel SBB"," 19:36"," 20:50","1 h 20 min","2","1. Klasse, Tiefe bis mittlere Belegung erwartet","2. Klasse, Tiefe bis mittlere Belegung erwartet","Gl. 4","19.70",false
"20:04 Richtung Basel SBB","InterCity","Richtung Basel SBB"," 20:04"," 21:20","1 h 22 min","1","1. Klasse, Tiefe bis mittlere Belegung erwartet","2. Klasse, Tiefe bis mittlere Belegung erwartet","Gl. 6","19.70",false
"21:04 Richtung Basel SBB","InterCity","Richtung Basel SBB"," 21:04"," 22:20","1 h 22 min","1","1. Klasse, Tiefe bis mittlere Belegung erwartet","2. Klasse, Tiefe bis mittlere Belegung erwartet","Gl. 7","19.70",false
"21:36 Richtung Basel SBB","EuroCity","Richtung Basel SBB"," 21:36"," 23:20","1 h 50 min","1","1. Klasse, Tiefe bis mittlere Belegung erwartet","2. Klasse, Tiefe bis mittlere Belegung erwartet","Gl. 4","19.70",false
"22:02 Richtung Romanshorn","InterCity","Richtung Romanshorn"," 22:02"," 23:20","1 h 24 min","2","1. Klasse, Tiefe bis mittlere Belegung erwartet","2. Klasse, Tiefe bis mittlere Belegung erwartet","Gl. 5","19.70",false
"22:36 Richtung Basel SBB","InterCity","Richtung Basel SBB"," 22:36"," 00:05","1 h 35 min","1","1. Klasse, Tiefe bis mittlere Belegung erwartet","2. Klasse, Tiefe bis mittlere Belegung erwartet","Gl. 7","15.00",true
"23:02 Richtung Zürich HB","InterCity","Richtung Zürich HB"," 23:02"," 00:05","1 h 9 min","2","1. Klasse, Tiefe bis mittlere Belegung erwartet","2. Klasse, Tiefe bis mittlere Belegung erwartet","Gl. 6","19.70",false
"04:21 Richtung Zürich Flughafen","InterRegio","Richtung Zürich Flughafen"," 04:21"," 06:20","2 h 5 min","2","1. Klasse, Tiefe bis mittlere Belegung erwartet","2. Klasse, Tiefe bis mittlere Belegung erwartet","Gl. 8","Zum",false
"05:29 Richtung St. Gallen","InterCity","Richtung St. Gallen"," 05:29"," 06:50","1 h 27 min","2","1. Klasse, Tiefe bis mittlere Belegung erwartet","2. Klasse, Tiefe bis mittlere Belegung erwartet","Gl. 3","Zum",false
"06:04 Richtung Basel SBB","InterCity","Richtung Basel SBB"," 06:04"," 07:20","1 h 22 min","1","1. Klasse, Tiefe bis mittlere Belegung erwartet","2. Klasse, Tiefe bis mittlere Belegung erwartet","Gl. 4","Zum",false
"06:36 Richtung Basel SBB","InterCity","Richtung Basel SBB"," 06:36"," 07:50","1 h 20 min","2","1. Klasse, Tiefe bis mittlere Belegung erwartet","2. Klasse, Tiefe bis mittlere Belegung erwartet","Gl. 4","Zum",false
"07:04 Richtung Berlin Ostbahnhof","InterCityExpress","Richtung Berlin Ostbahnhof"," 07:04"," 08:20","1 h 22 min","1","1. Klasse, Hohe Belegung erwartet","2. Klasse, Sehr hohe Belegung erwartet","Gl. 6","Zum",false
